40ee.dda1.6dfa	Gi6/0/2        
0020.d237.b70a	Gi4/0/0        
00d0.d653.2a4f	Eth-Trunk6     
00a3.8e70.6360	Gi6/1/2        
0020.d257.d39e	Gi6/0/0        
0021.9432.2df1	100GE7/0/0     
0020.d257.c705	Gi4/0/5        
2cab.0098.d3a9	Gi6/1/3        
9462.69f7.347c	Gi4/0/3        
0019.8f2f.9561	Gi6/0/0        
0020.d237.ab50	Gi4/0/2        
b07d.47e6.3665	Gi6/1/3        
bcc4.939d.25c0	Gi6/0/2        
9462.69f7.3470	Gi4/0/3        
9c57.ad30.8840	Gi6/1/3        
286e.d40b.6860	Gi6/1/3        
0011.0700.95ca	100GE7/0/0     
00a0.0acc.5936	Gi6/0/2        
6470.0274.0ce3	Gi6/1/3        
2c9d.1e19.d0a3	Gi6/1/3        
00fe.c803.6420	Gi6/1/3        
0021.942b.bd66	Gi6/1/2        
0021.9433.f39f	Gi6/1/2        
a44c.1162.1b9a	Gi6/0/0        
0040.1139.15c0	Gi4/0/1        
28c7.ceac.cb55	Gi6/0/2        
00a0.26c6.6121	Gi6/0/2        
b443.2673.16c6	100GE7/0/0     
0021.9433.1e39	Gi6/0/1        
0027.e3d2.e640	Gi6/1/3        
183d.5e33.bc7e	Gi6/0/0        
f88e.859a.375c	Gi4/0/3        
0021.9423.b358	100GE7/0/0     
c8a7.76d0.c4a7	Gi6/0/0        
0021.9423.7860	100GE7/0/0     
dc99.1401.6eb4	Gi6/1/2        
b0ac.d21d.5e81	Gi6/0/2        
0007.720e.96c9	100GE7/0/0     
dc99.1401.6eb4	Gi6/1/2        
2c54.2d50.cf61	100GE7/0/0     
f479.6084.8e1f	100GE7/0/0     
00d0.d653.2791	Eth-Trunk6     
60de.f3c6.e7c8	Gi6/0/2        
0020.d237.860f	Gi4/0/2        
8038.bc16.ea56	Gi6/1/3        
0800.3e0e.046d	Gi6/0/2        
f8c2.8810.bb40	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
d46a.a871.c37a	Gi6/1/2        
2894.0f77.a885	Gi6/0/0        
0021.9415.1662	Gi6/0/0        
0020.d237.f120	Gi6/0/2        
2c9d.1e3a.d50f	Gi6/0/1        
0020.d237.83cd	Gi4/0/2        
5006.abe4.cae5	Gi6/0/0        
00a0.c5fb.9990	100GE7/0/0     
0002.ab12.cbc9	100GE7/0/0     
0002.ab12.cbc1	100GE7/0/0     
2065.8ef1.5fd5	Gi6/0/0        
0024.1793.ed90	Gi6/0/2        
5489.9818.7128	100GE7/0/0     
00d0.d610.6c72	Eth-Trunk6     
845b.1230.c51b	Gi6/0/0        
0800.3ea4.7eb9	Gi6/0/2        
0cd9.9694.5240	Gi6/0/0        
00a0.26c6.5c7d	Gi6/1/2        
bcc4.939d.1b40	Gi6/0/2        
0020.d23f.a981	Gi6/0/2        
70ca.9b57.c95e	Gi6/0/2        
707d.b939.9b00	Eth-Trunk6     
3400.a349.1d7f	Gi6/0/0        
5078.b399.a73c	100GE7/0/0     
b0ac.d266.174d	Gi6/0/0        
60de.f3c6.e7cb	Gi6/0/2        
3456.fec4.fae5	Gi6/0/0        
c8a7.76d0.c0a6	Gi6/1/3        
00a0.26c6.4711	Gi6/0/1        
b443.2673.16c6	100GE7/0/0     
ecf0.feed.a018	100GE7/0/0     
0021.942c.4022	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
0001.2348.54c9	Gi4/0/1        
9813.334c.4422	Gi6/0/1        
9c74.1a6f.21f0	Gi6/0/1        
0021.9433.cd6b	100GE7/0/0     
7c1c.f140.c309	Gi6/0/2        
3872.c00f.58d4	Gi6/0/0        
0021.9409.c35a	Gi4/0/2        
9462.69f7.2928	Gi6/1/3        
9c74.1a6f.21f0	Gi6/0/1        
00d0.d610.69e8	Gi6/0/1        
7c1c.f140.c30b	Gi6/0/2        
9462.69f7.265e	Gi6/1/3        
b443.2673.16c6	100GE7/0/0     
189c.5da7.dac0	Gi6/0/2        
5006.abe4.53a5	Gi4/0/5        
0020.d254.289b	Gi4/0/5        
b443.2673.16c6	100GE7/0/0     
3872.c016.1e08	100GE7/0/0     
0000.290f.0db0	Gi6/0/2        
00f8.2c0e.e2e5	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
a03d.6f93.ec20	Gi6/1/2        
5078.b397.e2c4	100GE7/0/0     
b443.2673.16c6	100GE7/0/0     
0016.b5ca.5840	100GE7/0/0     
0022.10c5.e42b	Gi6/1/3        
b443.2673.16c6	100GE7/0/0     
0021.9431.f303	Gi6/0/0        
0800.3eaf.705b	100GE7/0/0     
0002.ab12.cb52	100GE7/0/0     
30e4.db43.3bc0	Gi6/0/0        
28c7.ce2b.3ae5	Gi6/0/1        
0002.ab12.cb5b	100GE7/0/0     
7488.bb10.8980	Gi6/1/2        
b443.2673.16c6	100GE7/0/0     
0021.940b.cfd0	Gi6/0/0        
ec4d.4773.9298	100GE7/0/0     
5078.b398.3474	Gi6/0/0        
b443.2673.16c6	100GE7/0/0     
6c41.6a2d.ab05	Gi6/1/3        
c8a7.76d0.c0a6	Gi6/1/3        
b0ac.d21d.447d	Gi6/0/0        
0021.9431.e7db	100GE7/0/0     
00a0.0aca.a266	Gi6/0/0        
0002.ab12.f01d	Gi6/1/3        
2c9d.1e10.304c	Gi6/0/2        
0020.d242.3c01	Gi6/0/2        
00d0.d653.28d1	Gi6/0/2        
0020.d231.74ae	Gi4/0/0        
682c.7b89.99a5	100GE7/0/0     
0007.722f.9353	100GE7/0/0     
00d0.d648.4aff	Gi4/0/5        
b443.2673.16c6	100GE7/0/0     
00a0.26c6.4f71	Gi6/0/1        
0800.3e0e.01e4	100GE7/0/0     
b0ac.d21e.4fcb	Gi6/0/0        
14a0.f897.6ba4	Gi6/1/2        
0013.49ac.4758	100GE7/0/0     
00f8.2c0e.efd5	Gi6/1/2        
3400.a348.d049	Gi6/0/0        
50f7.222e.6055	Gi6/1/3        
