0020.d256.b5c2	Gi6/0/4        
28c7.ceac.cb55	100GE7/0/0     
70ca.9b57.cc9e	100GE7/0/0     
9835.ed32.d30d	100GE7/0/0     
d0ef.c171.973b	100GE7/0/0     
d0ef.c171.9666	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
1051.722e.9183	100GE7/0/0     
0021.9423.7008	Gi6/0/4        
0021.9434.1a9f	Gi4/0/5        
0800.3e0e.01b2	100GE7/0/0     
0800.3e0e.03ec	100GE7/0/0     
0021.9432.2df1	Gi4/0/2        
00d0.d610.6ce5	100GE7/0/0     
f063.f917.5425	100GE7/0/0     
0800.3ea4.7eb9	100GE7/0/0     
f02f.a7c3.0899	100GE7/0/0     
b0ac.d21e.2dc9	Gi6/0/4        
00d0.d648.4aff	100GE7/0/0     
6c41.6a2d.ab05	100GE7/0/0     
f88e.85bb.b451	Gi4/0/5        
286f.7f33.a980	100GE7/0/0     
b0ac.d266.0275	Gi4/0/5        
5489.9818.bde9	Gi6/0/4        
0800.3e0e.0460	100GE7/0/0     
001f.9f74.1fee	100GE7/0/0     
0025.9ebc.3085	Gi6/0/4        
a0e0.afda.d860	100GE7/0/0     
4cb1.6cf4.057f	Gi6/0/4        
0800.3e0e.091b	100GE7/0/0     
2cf8.9bb7.6c80	100GE7/0/0     
a023.9f39.5fa0	100GE7/0/0     
e00e.dac1.8861	100GE7/0/0     
6cb2.aee8.84e0	100GE7/0/0     
5489.9818.bcab	Gi6/0/4        
0018.480c.33c7	Gi4/0/10       
ec4d.4773.9291	100GE7/0/0     
14a0.f886.527d	Gi6/0/4        
5489.9817.2771	100GE7/0/0     
00a0.26c6.4f60	100GE7/0/0     
e00e.dac1.ac80	100GE7/0/0     
5006.abe4.a3f5	100GE7/0/0     
0021.942b.c210	100GE7/0/0     
0800.3e0e.06b4	100GE7/0/0     
c464.136f.b72e	100GE7/0/0     
0018.4812.2aad	Gi4/0/10       
b07d.47e7.1b65	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
0081.c439.07e0	100GE7/0/0     
d48c.b541.a900	100GE7/0/0     
b443.2673.128e	100GE7/0/0     
2c54.2d98.a821	Eth-Trunk2     
00d0.d610.6c6f	100GE7/0/0     
