0021.9433.440d	Gi0/2/5        
5078.b398.504c	Gi0/2/5        
0021.9434.4151	Gi0/2/5        
8c68.c891.b2d8	Gi0/2/5        
5489.9818.bde9	Gi0/2/4        
7c39.53fa.04fb	Gi0/2/6        
5078.b397.fafc	Gi0/2/5        
b4f5.8e12.9eb8	Gi0/2/5        
0021.942c.514a	Gi0/2/6        
646d.6c6d.d589	Gi0/2/5        
b4f5.8e12.026d	Gi0/2/5        
5078.b398.e92c	Gi0/2/5        
b443.2673.128e	Gi0/2/4        
0021.9419.e06a	Gi0/2/5        
b0ac.d21e.511b	Gi0/2/5        
0c41.e9a0.dbe7	Gi0/2/4        
0021.9423.fdb0	Gi0/2/5        
b0ac.d267.02cb	Gi0/2/5        
b0ac.d21d.3787	Gi0/2/5        
0021.9416.4fd0	Gi0/2/5        
7c39.53f9.04eb	Gi0/2/5        
4c1f.cced.6f31	Gi0/2/4        
3872.c00e.4e4e	Gi0/2/6        
9813.334c.1758	Gi0/2/5        
3099.3597.85d1	Gi0/2/5        
28ff.3e21.b548	Gi0/2/5        
8c68.c8a5.d290	Gi0/2/5        
b4f5.8e12.ac13	Gi0/2/5        
3099.3597.6bd3	Gi0/2/5        
0021.9415.774c	Gi0/2/5        
0020.d237.afd7	Gi0/2/4        
9813.334c.3dcc	Gi0/2/5        
0021.940b.7b4c	Gi0/2/6        
7858.601a.bca6	Gi0/2/4        
b443.2673.16c6	Gi0/2/4        
1c59.9ba2.419c	Gi0/2/5        
f898.efe7.5504	Gi0/2/4        
5489.9817.2acb	Gi0/2/4        
781d.ba9c.4f0c	Gi0/2/4        
0021.9424.17cc	Gi0/2/5        
0020.d234.1cb5	Gi0/2/4        
0020.d237.ab50	Gi0/2/4        
5489.980d.82e8	Gi0/2/4        
6468.0cfb.b4c8	Gi0/2/6        
d0d0.4bc9.56b3	Gi0/2/4        
4c1f.ccec.df6e	Gi0/2/4        
0021.9424.23ba	Gi0/2/6        
ecf0.feeb.e048	Gi0/2/5        
0020.d23f.812b	Gi0/2/4        
7c39.53f8.4afb	Gi0/2/5        
0021.942b.d386	Gi0/2/5        
0020.d237.6c7a	Gi0/2/4        
0020.d234.08e5	Gi0/2/4        
8c68.c8a5.a268	Gi0/2/6        
0020.d242.3c01	Gi0/2/4        
ecf0.feeb.8ac0	Gi0/2/5        
5078.b398.e7c4	Gi0/2/5        
0021.9433.464d	Gi0/2/5        
b0ac.d21e.5053	Gi0/2/5        
4cb1.6cf4.057f	Gi0/2/4        
001f.9f74.41e8	Gi0/2/4        
1c59.9ba2.bc66	Gi0/2/5        
f898.ef14.4983	Gi0/2/4        
0021.9433.44d9	Gi0/2/5        
3099.3597.bdcb	Gi0/2/5        
28ff.3e21.f9dc	Gi0/2/6        
b0ac.d266.d0d3	Gi0/2/5        
000e.50fd.2ea4	Gi0/2/6        
0024.17a8.f710	Gi0/2/5        
5489.9817.2771	Gi0/2/4        
1c59.9ba2.7416	Gi0/2/6        
d060.8c0d.78ec	Gi0/2/6        
0021.941a.220a	Gi0/2/5        
60de.f3c7.665a	Gi0/2/4        
78c1.a721.d94e	Gi0/2/5        
7c39.53fa.220b	Gi0/2/5        
78c1.a722.005a	Gi0/2/5        
0021.9424.9902	Gi0/2/5        
7858.601a.bf76	Gi0/2/4        
b0ac.d266.265f	Gi0/2/5        
60de.f3c7.631a	Gi0/2/4        
0021.9424.07fa	Gi0/2/5        
0025.9ebc.3085	Gi0/2/4        
4cb1.6cf4.05ee	Gi0/2/4        
4c1f.cced.70de	Gi0/2/4        
b4f5.8e12.c577	Gi0/2/5        
0020.d237.83cd	Gi0/2/4        
807d.14e6.cef6	Gi0/2/5        
0020.d237.9ee2	Gi0/2/4        
781d.bae8.4e16	Gi0/2/4        
7c39.53f8.686f	Gi0/2/5        
7c39.53f8.f70f	Gi0/2/5        
9813.334b.cb30	Gi0/2/5        
b0ac.d266.f043	Gi0/2/5        
28ff.3e21.c8b8	Gi0/2/5        
5489.9817.2dc2	Gi0/2/4        
b443.2673.128e	Gi0/2/4        
78c1.a722.29be	Gi0/2/5        
0021.9409.78d8	Gi0/2/6        
5078.b398.eb9c	Gi0/2/6        
7c39.53f8.b893	Gi0/2/5        
0020.d23f.a981	Gi0/2/4        
0021.941e.b4ea	Gi0/2/5        
0020.d240.a0d0	Gi0/2/4        
0020.d237.860f	Gi0/2/4        
28ff.3e22.0c1c	Gi0/2/6        
5489.9817.2d1d	Gi0/2/4        
3872.c002.5e2f	Gi0/2/5        
1c59.9ba2.4322	Gi0/2/5        
0021.9409.b124	Gi0/2/6        
000e.50fd.2b8d	Gi0/2/5        
0020.d237.b70a	Gi0/2/4        
0021.9424.08b4	Gi0/2/6        
