b0ac.d21e.2dc7	Eth-Trunk1     
5078.b398.38a4	Eth-Trunk10    
0021.942c.c254	Eth-Trunk1     
5078.b399.66bc	Eth-Trunk10    
0021.9434.4517	Eth-Trunk10    
b0ac.d266.8d55	Eth-Trunk10    
0021.9410.a8d4	Eth-Trunk10    
3091.8f0b.50aa	Eth-Trunk10    
d060.8c0d.6ec4	Eth-Trunk10    
0021.941a.ace2	Eth-Trunk10    
2c97.b16e.790b	Eth-Trunk1     
0021.9434.3dc7	Eth-Trunk10    
d060.8c0d.3990	Eth-Trunk10    
3099.3597.843f	Eth-Trunk10    
f88e.85e7.ba8a	Eth-Trunk10    
ecf0.feec.1ab0	Eth-Trunk10    
b0ac.d21f.f1cb	Eth-Trunk1     
f02f.a7c3.0899	Eth-Trunk1     
5078.b398.9184	Eth-Trunk10    
807d.14e6.d021	Eth-Trunk1     
60de.f3c6.2c07	Eth-Trunk1     
0021.9432.0a55	Eth-Trunk1     
0021.940b.2c3e	Eth-Trunk10    
8c15.c79b.7e62	Eth-Trunk10    
b07d.47e6.5c15	Eth-Trunk1     
646d.6c6e.ca8e	Eth-Trunk10    
0026.4466.ce0c	Eth-Trunk1     
487b.6bf6.03a7	Eth-Trunk1     
ecf0.feec.c9e8	Eth-Trunk10    
7c1c.f140.c30b	Eth-Trunk1     
0021.9424.6dc4	Eth-Trunk10    
3099.3597.8433	Eth-Trunk1     
000e.50fd.3282	Eth-Trunk10    
d060.8c0c.f884	Eth-Trunk10    
ecf0.feec.fb08	Eth-Trunk10    
0026.4466.f0a2	Eth-Trunk1     
7c39.53f8.3317	Eth-Trunk1     
8c68.c8a5.a2fc	Eth-Trunk1     
b0ac.d21d.32af	Eth-Trunk10    
e024.7fc4.6a4a	Eth-Trunk1     
0021.940a.617c	Eth-Trunk10    
ecf0.feeb.8cc0	Eth-Trunk1     
b4f5.8e12.dab1	Eth-Trunk1     
0024.1793.e8f0	Eth-Trunk1     
f098.3877.f18d	Eth-Trunk1     
2c97.b16e.82da	Eth-Trunk1     
0021.9434.3851	Eth-Trunk1     
0021.9409.c38a	Eth-Trunk10    
0021.941d.ff64	Eth-Trunk10    
9813.334c.c8dc	Eth-Trunk10    
0021.9410.a8ce	Eth-Trunk10    
0021.9424.36c8	Eth-Trunk1     
7c39.53f8.b5d7	Eth-Trunk10    
8c68.c8a5.a114	Eth-Trunk1     
ecf0.feec.ca10	Eth-Trunk1     
f098.3878.1627	Eth-Trunk1     
0021.941a.5162	Eth-Trunk10    
0021.941f.400a	Eth-Trunk1     
000e.50ed.77a5	Eth-Trunk10    
000e.50fd.0dd6	Eth-Trunk10    
f063.f917.5425	Eth-Trunk1     
b0ac.d21e.5693	Eth-Trunk10    
940b.19c4.1788	Eth-Trunk10    
0035.1ab6.af40	Eth-Trunk1     
c4b8.b46e.1fa9	Eth-Trunk1     
7c39.53f8.b64b	Eth-Trunk10    
3872.c00f.1ca2	Eth-Trunk10    
28ff.3e21.9d18	Eth-Trunk10    
7c39.53f8.41fb	Eth-Trunk10    
0021.9409.cb70	Eth-Trunk10    
0021.942b.c4e0	Eth-Trunk10    
a0e0.afda.d7a1	Eth-Trunk1     
646d.6c6d.d79e	Eth-Trunk10    
28ff.3e21.9678	Eth-Trunk1     
0021.941f.8eee	Eth-Trunk10    
0021.9410.3fe6	Eth-Trunk1     
ecf0.feec.b898	Eth-Trunk10    
8c15.c79b.7a2b	Eth-Trunk1     


--------------------------------------------------

Interface Eth-Trunk1      - Neighbor MUST BE VERIFIED
Interface Eth-Trunk10     - Neighbor MUST BE VERIFIED
